idx,reconn_trigger,conf_trigger,rad_trigger,margin_trigger,tct_pass_rate,tct_fail_pnet,tct_burst_rate,tct_pnet_p05,tct_pnet_p50,tct_pnet_p95,tct_tail_burst_frac,corr_precursor_pburst,corr_pburst_burst
123,0.6,0.55,0.8,0.02,0.2676,0.6098,0.3618,-28.02765884565039,-4.0518096171120686,22.78147457015924,0.378,0.9118630562597104,0.1460583933693981
124,0.6,0.55,0.8,0.01,0.256,0.6126,0.372,-28.016841447757027,-4.464260864386457,22.56641583378962,0.398,0.9071999687969872,0.11949552472284035
125,0.6,0.6,0.6,0.15,0.2676,0.6044,0.3628,-28.0003892383518,-4.042994637274415,22.824325362393406,0.394,0.9101103127081489,0.12507962814026846
126,0.6,0.6,0.6,0.08,0.2688,0.5992,0.372,-28.75448593187124,-4.035285251691862,22.792443870731177,0.416,0.9068461163039332,0.13435315592136735
127,0.6,0.6,0.6,0.04,0.2664,0.6004,0.3678,-27.86663173760489,-3.9184383747455733,23.118682607724207,0.38,0.9097683453849164,0.12421787335921944
128,0.6,0.6,0.6,0.02,0.265,0.6086,0.357,-28.22470237896676,-4.164505402615466,21.516661054557595,0.412,0.9048704446077886,0.12291784212665441
129,0.6,0.6,0.6,0.01,0.2632,0.611,0.3682,-28.147818764902247,-4.3558013754824465,22.232417952709827,0.38,0.9049297829747492,0.12801311413441188
130,0.6,0.6,0.65,0.15,0.2618,0.6116,0.3552,-28.2682627807061,-4.5414266017193405,21.752479744257787,0.39,0.9061100691471349,0.11327165099858942
131,0.6,0.6,0.65,0.08,0.2618,0.6132,0.3678,-28.799882662949436,-4.5503709432284545,22.338867337709868,0.408,0.9090294339770194,0.12968012088113218
132,0.6,0.6,0.65,0.04,0.2714,0.5948,0.3702,-27.61007292625592,-3.745270594296505,23.39167771256219,0.386,0.9094078573962986,0.14812809491863665
133,0.6,0.6,0.65,0.02,0.2528,0.6122,0.3668,-27.955539901498415,-4.437602312175102,22.227992646603163,0.366,0.9058993817804809,0.09863721098044069
134,0.6,0.6,0.65,0.01,0.2566,0.6148,0.3646,-28.769451669935656,-4.632610643144102,22.600935791226156,0.384,0.9108372603860659,0.11487862658655203
135,0.6,0.6,0.7,0.15,0.2624,0.609,0.368,-27.63207088116538,-4.341460184586023,22.9080972341357,0.394,0.908114107591939,0.1320273489367115
